# Continuation along the bifurcation curve
#b.parameter	b.X[0]	b.stdErr[0]	b.stdDev[0]	b.var[0]	b.liftAverage[0]	b.mean[0]	b.median[0]	b.solution[0]	b.parameter	b.X[1]	b.stdErr[1]	b.stdDev[1]	b.var[1]	b.liftAverage[1]	b.mean[1]	b.median[1]	b.solution[1]	iter	b.size	b.determinantOfJ	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1	20	0.8742088042831655
0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.7878586967329325	0.004534206434639254	1.8975913245158917	3.2710473319928743	0.8191195716835223	0.819006543723974	0.8164782867340868	0.03126087495058982	4	20	0.27663544015223435
0.15596239047150187	1.0705447267916857E-17	0.0	0.0	0.0	0.0	0.0	0.0	-1.0705447267916857E-17	0.15596239047150187	0.703685186507194	0.002978396237375184	1.1695657840688456	1.6374770207096814	0.6937154967281383	0.6938132064247472	0.6921475312314098	-0.009804460748716437	1	20	0.5862917630061087
0.19938608586609693	7.39194189561761E-15	0.0	0.0	0.0	0.0	0.0	0.0	-7.39194189561761E-15	0.19938608586609693	0.6124711154558738	0.005010160585624549	2.0767401560041288	5.066210272926523	0.5806844140392625	0.580755502676978	0.574360499702558	-0.031988813254803294	8	20	0.6022399537151252
0.24445333102831227	-6.201705959785011E-11	0.0	0.0	0.0	0.0	0.0	0.0	6.201705959785011E-11	0.24445333102831227	0.5231723650676918	0.008325979002333877	3.140132078750716	9.120157962197494	0.4768405710886373	0.4765615704937538	0.47769185008923265	-0.04721266845853073	5	20	0.9662198283754407
0.2804622230070503	-2.2679505508336276E-9	0.0	0.0	0.0	0.0	0.0	0.0	2.2679505508336276E-9	0.2804622230070503	0.4293318605778838	0.009125325311274347	3.390712701515567	10.748927691802853	0.4138182629387269	0.4137120761451517	0.4045211183819155	-0.015209017032375038	1	20	0.5284219123220371
0.3162876559057894	-4.462645192257532E-9	0.0	0.0	0.0	0.0	0.0	0.0	4.462645192257532E-9	0.3162876559057894	0.33596945723682825	0.006066174729910877	2.439525458729974	6.941573664829955	0.35934711481261167	0.3599643069601428	0.36020226055919097	0.024398478515700095	1	20	0.06013813424065124
0.35211308880452846	-6.657339833681436E-9	0.0	0.0	0.0	0.0	0.0	0.0	6.657339833681436E-9	0.35211308880452846	0.2426070538957727	0.005661442588504819	2.523405707432844	5.370273827725877	0.3273139500297442	0.3265020820939917	0.3274836406900654	0.08369053682403682	1	20	0.005493772084758742
0.398882001409271	-1.4168647679808056E-8	0.0	0.0	0.0	0.0	0.0	0.0	1.4168647679808056E-8	0.398882001409271	0.15344393082017865	0.005015756970197401	1.8692536849940753	4.334105980032001	0.14255472932778104	0.14214753123140988	0.14247471743010115	-0.01110083147455096	1	20	-1.5544617997086838
0.4453328995722273	-2.1628880907374313E-8	0.0	0.0	0.0	0.0	0.0	0.0	2.1628880907374313E-8	0.4453328995722273	0.06488708997852144	0.0030037816134631124	1.1918380408745124	1.3126615908593262	0.10042757287328964	0.10065437239738251	0.10113027959547888	0.03544009622016975	1	20	-0.3349210462685966
0.5271275947214229	3.4190929319126835E-7	0.0	0.0	0.0	0.0	0.0	0.0	-3.4190929319126835E-7	0.5271275947214229	-0.00513079781451984	0.0	0.0	0.0	0.0	0.0	0.0	0.00513079781451984	2	20	-0.29859886248287815
0.6631543851200243	2.6029600780788365E-6	0.0	0.0	0.0	0.0	0.0	0.0	-2.6029600780788365E-6	0.6631543851200243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	20	-0.35330458060678166
